DWJZ,FSRQ,JZZZL,LJJZ
1.5430,2019-05-24,0.26,3.0800
1.5390,2019-05-23,-2.66,3.0760
1.5810,2019-05-22,-0.38,3.1180
1.5870,2019-05-21,1.47,3.1240
1.5640,2019-05-20,-2.19,3.1010
1.5990,2019-05-17,-2.32,3.1360
1.6370,2019-05-16,0.99,3.1740
1.6210,2019-05-15,4.58,3.1580
1.5500,2019-05-14,-0.83,3.0870
1.5630,2019-05-13,-0.57,3.1000
1.5720,2019-05-10,4.24,3.1090
1.5080,2019-05-09,-1.89,3.0450
1.5370,2019-05-08,-1.66,3.0740
1.5630,2019-05-07,1.69,3.1000
1.5370,2019-05-06,-6.28,3.0740
1.6400,2019-04-30,0.24,3.1770
1.6360,2019-04-29,0.80,3.1730
1.6230,2019-04-26,-1.04,3.1600
1.6400,2019-04-25,-0.91,3.1770
1.6550,2019-04-24,0.36,3.1920
1.6490,2019-04-23,0.73,3.1860
1.6370,2019-04-22,-0.91,3.1740
1.6520,2019-04-19,1.23,3.1890
1.6320,2019-04-18,0.62,3.1690
1.6220,2019-04-17,1.00,3.1590
1.6060,2019-04-16,1.26,3.1430
1.5860,2019-04-15,-0.31,3.1230
1.5910,2019-04-12,-0.25,3.1280
1.5950,2019-04-11,-2.33,3.1320
1.6330,2019-04-10,1.55,3.1700
1.6080,2019-04-09,0.56,3.1450
1.5990,2019-04-08,-0.25,3.1360
1.6030,2019-04-04,2.23,3.1400
1.5680,2019-04-03,0.06,3.1050
1.5670,2019-04-02,-1.20,3.1040
1.5860,2019-04-01,2.92,3.1230
1.5410,2019-03-29,4.33,3.0780
1.4770,2019-03-28,1.44,3.0140
1.4560,2019-03-27,2.25,2.9930
1.4240,2019-03-26,0.28,2.9610
1.4200,2019-03-25,-1.93,2.9570
1.4480,2019-03-22,-0.14,2.9850
1.4500,2019-03-21,-0.28,2.9870
1.4540,2019-03-20,-0.82,2.9910
1.4660,2019-03-19,-0.27,3.0030
1.4700,2019-03-18,4.85,3.0070
1.4020,2019-03-15,2.94,2.9390
1.3620,2019-03-14,-0.66,2.8990
1.3710,2019-03-13,-2.07,2.9080
1.4000,2019-03-12,1.23,2.9370
1.3830,2019-03-11,2.37,2.9200
1.3510,2019-03-08,-0.81,2.8880
1.3620,2019-03-07,-2.08,2.8990
1.3910,2019-03-06,-0.43,2.9280
1.3970,2019-03-05,0.79,2.9340
1.3860,2019-03-04,2.29,2.9230
1.3550,2019-03-01,2.81,2.8920
1.3180,2019-02-28,-0.08,2.8550
1.3190,2019-02-27,-0.23,2.8560
1.3220,2019-02-26,-1.05,2.8590
1.3360,2019-02-25,2.30,2.8730
1.3060,2019-02-22,0.38,2.8430
1.3010,2019-02-21,0.31,2.8380
1.2970,2019-02-20,0.15,2.8340
1.2950,2019-02-19,-0.38,2.8320
1.3000,2019-02-18,3.42,2.8370
1.2570,2019-02-15,-0.79,2.7940
1.2670,2019-02-14,0.88,2.8040
1.2560,2019-02-13,0.48,2.7930
1.2500,2019-02-12,0.64,2.7870
1.2420,2019-02-11,4.28,2.7790
1.1910,2019-02-01,1.28,2.7280
1.1760,2019-01-31,1.03,2.7130
