,DWJZ,FSRQ,JZZZL,LJJZ
0,1.5390,2019-05-23,-2.66,3.0760
1,1.5810,2019-05-22,-0.38,3.1180
2,1.5870,2019-05-21,1.47,3.1240
3,1.5640,2019-05-20,-2.19,3.1010
4,1.5990,2019-05-17,-2.32,3.1360
5,1.6370,2019-05-16,0.99,3.1740
6,1.6210,2019-05-15,4.58,3.1580
7,1.5500,2019-05-14,-0.83,3.0870
8,1.5630,2019-05-13,-0.57,3.1000
9,1.5720,2019-05-10,4.24,3.1090
10,1.5080,2019-05-09,-1.89,3.0450
11,1.5370,2019-05-08,-1.66,3.0740
12,1.5630,2019-05-07,1.69,3.1000
13,1.5370,2019-05-06,-6.28,3.0740
14,1.6400,2019-04-30,0.24,3.1770
15,1.6360,2019-04-29,0.80,3.1730
16,1.6230,2019-04-26,-1.04,3.1600
17,1.6400,2019-04-25,-0.91,3.1770
18,1.6550,2019-04-24,0.36,3.1920
19,1.6490,2019-04-23,0.73,3.1860
0,1.6370,2019-04-22,-0.91,3.1740
1,1.6520,2019-04-19,1.23,3.1890
2,1.6320,2019-04-18,0.62,3.1690
3,1.6220,2019-04-17,1.00,3.1590
4,1.6060,2019-04-16,1.26,3.1430
5,1.5860,2019-04-15,-0.31,3.1230
6,1.5910,2019-04-12,-0.25,3.1280
7,1.5950,2019-04-11,-2.33,3.1320
8,1.6330,2019-04-10,1.55,3.1700
9,1.6080,2019-04-09,0.56,3.1450
10,1.5990,2019-04-08,-0.25,3.1360
11,1.6030,2019-04-04,2.23,3.1400
12,1.5680,2019-04-03,0.06,3.1050
13,1.5670,2019-04-02,-1.20,3.1040
14,1.5860,2019-04-01,2.92,3.1230
15,1.5410,2019-03-29,4.33,3.0780
16,1.4770,2019-03-28,1.44,3.0140
17,1.4560,2019-03-27,2.25,2.9930
18,1.4240,2019-03-26,0.28,2.9610
19,1.4200,2019-03-25,-1.93,2.9570
0,1.4480,2019-03-22,-0.14,2.9850
1,1.4500,2019-03-21,-0.28,2.9870
2,1.4540,2019-03-20,-0.82,2.9910
3,1.4660,2019-03-19,-0.27,3.0030
4,1.4700,2019-03-18,4.85,3.0070
5,1.4020,2019-03-15,2.94,2.9390
6,1.3620,2019-03-14,-0.66,2.8990
7,1.3710,2019-03-13,-2.07,2.9080
8,1.4000,2019-03-12,1.23,2.9370
9,1.3830,2019-03-11,2.37,2.9200
10,1.3510,2019-03-08,-0.81,2.8880
11,1.3620,2019-03-07,-2.08,2.8990
12,1.3910,2019-03-06,-0.43,2.9280
13,1.3970,2019-03-05,0.79,2.9340
14,1.3860,2019-03-04,2.29,2.9230
15,1.3550,2019-03-01,2.81,2.8920
16,1.3180,2019-02-28,-0.08,2.8550
17,1.3190,2019-02-27,-0.23,2.8560
18,1.3220,2019-02-26,-1.05,2.8590
19,1.3360,2019-02-25,2.30,2.8730
0,1.3060,2019-02-22,0.38,2.8430
1,1.3010,2019-02-21,0.31,2.8380
2,1.2970,2019-02-20,0.15,2.8340
3,1.2950,2019-02-19,-0.38,2.8320
4,1.3000,2019-02-18,3.42,2.8370
5,1.2570,2019-02-15,-0.79,2.7940
6,1.2670,2019-02-14,0.88,2.8040
7,1.2560,2019-02-13,0.48,2.7930
8,1.2500,2019-02-12,0.64,2.7870
9,1.2420,2019-02-11,4.28,2.7790
10,1.1910,2019-02-01,1.28,2.7280
11,1.1760,2019-01-31,1.03,2.7130
12,1.1640,2019-01-30,-1.27,2.7010
13,1.1790,2019-01-29,1.03,2.7160
14,1.1670,2019-01-28,0.17,2.7040
15,1.1650,2019-01-25,0.43,2.7020
16,1.1600,2019-01-24,0.43,2.6970
17,1.1550,2019-01-23,0.87,2.6920
18,1.1450,2019-01-22,-1.38,2.6820
19,1.1610,2019-01-21,0.69,2.6980
0,1.1530,2019-01-18,2.85,2.6900
1,1.1210,2019-01-17,-0.27,2.6580
2,1.1240,2019-01-16,-0.27,2.6610
3,1.1270,2019-01-15,3.11,2.6640
4,1.0930,2019-01-14,-0.64,2.6300
5,1.1000,2019-01-11,1.20,2.6370
6,1.0870,2019-01-10,-0.18,2.6240
7,1.0890,2019-01-09,1.59,2.6260
8,1.0720,2019-01-08,-0.37,2.6090
